,z,t,theta_train,psi_train
633,36.0,0.758,0.398,-3.443
634,36.0,0.77,0.3978,-3.48
635,36.0,0.782,0.3976,-3.517
636,36.0,0.794,0.3974,-3.552
637,36.0,0.806,0.3972,-3.587
638,36.0,0.818,0.397,-3.621
639,36.0,0.831,0.3967,-3.656
640,36.0,0.844,0.3965,-3.69
641,36.0,0.857,0.3963,-3.725
642,36.0,0.87,0.396,-3.759
643,36.0,0.883,0.3958,-3.795
644,36.0,0.897,0.3955,-3.833
645,36.0,0.91,0.3953,-3.869
646,36.0,0.924,0.395,-3.908
647,36.0,0.939,0.3947,-3.95
648,36.0,0.953,0.3944,-3.99
649,36.0,0.968,0.3941,-4.032
650,36.0,0.982,0.3939,-4.071
651,36.0,0.997,0.3936,-4.113
652,36.0,1.013,0.3933,-4.158
653,36.0,1.028,0.393,-4.199
654,36.0,1.044,0.3927,-4.243
655,36.0,1.06,0.3924,-4.286
656,36.0,1.076,0.3921,-4.329
657,36.0,1.093,0.3918,-4.373
658,36.0,1.11,0.3915,-4.417
659,36.0,1.127,0.3912,-4.459
660,36.0,1.144,0.3909,-4.5
661,36.0,1.162,0.3906,-4.542
662,36.0,1.179,0.3903,-4.581
663,36.0,1.198,0.39,-4.622
664,36.0,1.216,0.3897,-4.66
665,36.0,1.235,0.3894,-4.7
666,36.0,1.254,0.3891,-4.741
667,36.0,1.273,0.3888,-4.783
668,36.0,1.292,0.3884,-4.825
669,36.0,1.312,0.3881,-4.869
670,36.0,1.332,0.3877,-4.914
671,36.0,1.353,0.3873,-4.962
672,36.0,1.374,0.387,-5.01
673,36.0,1.395,0.3866,-5.058
674,36.0,1.416,0.3862,-5.105
675,36.0,1.438,0.3858,-5.156
676,36.0,1.46,0.3854,-5.205
677,36.0,1.482,0.385,-5.255
678,36.0,1.505,0.3846,-5.306
679,36.0,1.528,0.3842,-5.357
680,36.0,1.552,0.3838,-5.409
681,36.0,1.575,0.3834,-5.458
682,36.0,1.599,0.383,-5.509
683,36.0,1.624,0.3826,-5.56
684,36.0,1.649,0.3822,-5.61
685,36.0,1.674,0.3818,-5.659
686,36.0,1.7,0.3814,-5.707
687,36.0,1.726,0.381,-5.754
688,36.0,1.753,0.3807,-5.801
689,36.0,1.779,0.3803,-5.844
690,36.0,1.807,0.3799,-5.889
691,36.0,1.835,0.3795,-5.935
692,36.0,1.863,0.3791,-5.982
693,36.0,1.891,0.3787,-6.029
694,36.0,1.92,0.3783,-6.079
695,36.0,1.95,0.3778,-6.131
696,36.0,1.98,0.3774,-6.183
697,36.0,2.01,0.3769,-6.236
